,acc_0,acc_1,f1_0,f1_1,auc_0,auc_1,pehe,mae,kl_0,kl_1
ClassCaus,0.71484375,0.76484375,0.6546830652790917,0.8217880402605091,0.8388859587435538,0.8228309658069617,0.04920056462287903,0.18843932449817657,153.45248584605315,67.39038562756892
lgbm,0.77578125,0.79765625,0.7794004611837049,0.8392302917442581,0.7357666693530072,0.6991010074916042,0.47431381437433207,0.4129083238900709,305.8269845849369,190.05062487387733
knn,0.77578125,0.79765625,0.7794004611837049,0.8392302917442581,0.6256547954840175,0.616354947042108,0.33139372438800374,0.273494024425745,inf,inf
