,lgbm,xgb,rf
0,"{'acc': 0.840625, 'f1': 0.8360128617363344, 'auc': 0.5455291222313372, 'cf_m': array([[139,  22],
       [ 29, 130]]), 'pehe': 0.25282353529358914, 'mae': 0.4247213198784451, 'kl': 321.90039630138625}","{'acc': 0.840625, 'f1': 0.8360128617363344, 'auc': 0.5384585335364662, 'cf_m': array([[139,  22],
       [ 29, 130]]), 'pehe': 0.24578395, 'mae': 0.41858792, 'kl': 352.6603950080337}","{'acc': 0.840625, 'f1': 0.8360128617363344, 'auc': 0.5192780968006563, 'cf_m': array([[139,  22],
       [ 29, 130]]), 'pehe': 0.13040427390615927, 'mae': 0.2893105688005453, 'kl': 106.60336720413447}"
1,"{'acc': 0.8625, 'f1': 0.9172932330827068, 'auc': 0.5396825396825397, 'cf_m': array([[ 32,  36],
       [  8, 244]]), 'pehe': 0.25282353529358914, 'mae': 0.4247213198784451, 'kl': 21.688910588730696}","{'acc': 0.8625, 'f1': 0.9172932330827068, 'auc': 0.49754901960784315, 'cf_m': array([[ 32,  36],
       [  8, 244]]), 'pehe': 0.24578395, 'mae': 0.41858792, 'kl': 21.489470062763253}","{'acc': 0.8625, 'f1': 0.9172932330827068, 'auc': 0.4699171335200747, 'cf_m': array([[ 32,  36],
       [  8, 244]]), 'pehe': 0.13040427390615927, 'mae': 0.2893105688005453, 'kl': 22.214147740623442}"
